ref;year;month;pkd;opd;pke;ope;ctrd
c3;2016;4;449.68;789.04;8368.00;162826.00;480.00
c3;2016;5;374.64;660.24;7234.00;103846.00;480.00
c3;2016;6;204.96;435.12;6757.00;95741.00;480.00
c3;2016;7;298.48;294.00;12682.00;69956.00;480.00
c3;2016;8;273.28;250.88;10666.00;68231.00;480.00
c3;2016;9;249.76;519.68;7329.00;106068.00;480.00
c3;2016;10;371.28;549.36;11822.00;79690.00;480.00
c3;2016;11;487.76;630.56;15554.00;111618.00;480.00
c3;2016;12;478.24;678.72;14806.00;110379.00;480.00
c3;2017;1;90.16;350.00;4137.00;62126.00;480.00
c3;2017;2;712.88;828.8;15887.00;122570.00;480.00
c3;2017;3;706.72;824.32;25793.00;147884.00;480.00
c3;2017;4;556.08;654.64;18718.00;110151.00;480.00
c3;2017;5;393.12;465.36;17033.00;97990.00;480.00
c3;2017;6;351.12;437.92;15544.00;92115.00;480.00
c3;2017;7;160.44;167.16;9402.00;67005.00;480.00
c3;2017;8;316.68;322.56;16454.00;84628.00;480.00
c3;2017;9;442.68;486.36;16752.00;89866.00;480.00
c3;2017;10;427.56;504.00;17071.00;92606.00;480.00
c3;2017;11;479.64;708.12;16757.00;106497.00;480.00
c3;2017;12;432.60;608.16;15106.00;108539.00;480.00
c3;2018;1;100.80;254.52;4989.00;59163.00;480.00
c3;2018;2;537.6;624.12;8206.00;72706.00;480.00
c3;2018;3;620.76;748.44;26654.00;137737.00;480.00
c3;2018;4;624.96;719.88;25065.00;133994.00;480.00
c3;2018;5;513.24;624.12;19481.00;102651.00;480.00
c3;2018;6;291.48;293.16;12187.00;72560.00;480.00
c3;2018;7;278.04;262.08;10661.00;62394.00;480.00
c3;2018;8;284.76;263.76;15054.00;76655.00;480.00
c3;2018;9;422.52;556.08;14948.00;78381.00;650.00
c3;2018;10;482.16;703.92;18970.00;98331.00;650.00
c3;2018;11;517.44;698.88;17244.00;104687.00;650.00
c3;2018;12;480.48;655.20;15359.00;114834.00;650.00
c3;2019;1;118.44;313.32;4843.00;66306.00;650.00
c3;2019;2;557.76;712.32;13752.00;106568.00;650.00
c3;2019;3;646.8;795.48;20864.00;116362.00;650.00
c3;2019;4;608.16;814.80;23615.00;125576.00;650.00
c3;2019;5;553.56;714.00;19465.00;106897.00;650.00
c3;2019;6;376.32;464.52;14836.00;82346.00;650.00
c3;2019;7;334.32;415.80;10856.00;66493.00;650.00
c3;2019;8;290.64;362.04;14052.00;76099.00;650.00
c3;2019;9;318.36;373.80;15818.00;85561.00;650.00
c3;2019;10;367.92;535.08;16868.00;88727.00;650.00
c3;2019;11;530.88;703.92;19787.00;111055.00;650.00
c3;2019;12;455.28;694.68;16532.00;94191.00;650.00
c3;2020;1;115.08;328.44;5544.00;60538.17;650.00
c3;2020;2;691.32;823.20;15278.97;101288.46;650.00
c3;2020;3;567.00;713.16;16209.90;91605.78;650.00
c3;2020;4;82.32;79.80;4518.15;31949.61;650.00
c3;2020;5;73.92;73.92;3767.00;32136.00;650.00
c3;2020;6;71.40;70.56;4250.00;33948.00;650.00
c3;2020;7;68.88;71.40;3924.00;30968.00;650.00
c3;2020;8;68.04;89.04;3786.00;32048.00;650.00
c3;2020;9;73.92;73.08;4184.00;30848.00;650.00
c3;2020;10;79.80;73.08;4001.00;30395.00;650.00
c3;2020;11;NA;NA;NA;NA;NA
c3;2020;12;NA;NA;NA;NA;NA
c4;2014;1;58.88;74.88;1579.00;13255.00;70.00
c4;2014;2;45.76;69.44;1474.00;15800.00;70.00
c4;2014;3;67.52;89.92;2772.00;17881.00;70.00
c4;2014;4;75.52;105.60;2811.00;17588.00;70.00
c4;2014;5;59.20;82.56;2229.00;14125.00;70.00
c4;2014;6;50.56;70.72;2191.00;15212.00;70.00
c4;2014;7;45.44;41.92;1586.00;11953.00;70.00
c4;2014;8;40.64;49.92;1881.00;12307.00;70.00
c4;2014;9;61.12;74.88;2567.00;14864.00;70.00
c4;2014;10;66.88;72.32;2348.00;13998.00;70.00
c4;2014;11;87.36;106.56;3115.00;18993.00;70.00
c4;2014;12;83.52;105.60;3038.00;20643.00;70.00
c4;2015;1;73.28;105.28;1497.00;14781.00;70.00
c4;2015;2;NA;NA;NA;NA;70.00
c4;2015;3;NA;NA;NA;NA;70.00
c4;2015;4;66.56;87.36;5128.00;32779.00;85.00
c4;2015;5;50.56;70.72;2431.00;15022.00;85.00
c4;2015;6;57.28;63.36;2265.00;13706.00;85.00
c4;2015;7;41.60;40.00;1430.00;10397.00;85.00
c4;2015;8;35.52;38.72;1651.00;11816.00;85.00
c4;2015;9;42.88;67.20;1427.00;11679.00;85.00
c4;2015;10;70.08;85.76;2214.00;13646.00;85.00
c4;2015;11;84.48;112.96;3102.00;20819.00;85.00
c4;2015;12;103.36;105.28;2518.00;20154.00;85.00
c4;2016;1;33.60;50.24;1207.00;11155.00;85.00
c4;2016;2;98.88;128.32;3561.00;25403.00;85.00
c4;2016;3;104.32;120.64;3854.00;22686.00;85.00
c4;2016;4;125.12;132.16;4557.00;28634.00;85.00
c4;2016;5;106.56;136.64;3171.00;17750.00;85.00
c4;2016;6;62.40;54.08;2748.00;16396.00;85.00
c4;2016;7;56.00;52.80;1996.00;13682.00;85.00
c4;2016;8;59.52;50.56;2726.00;14965.00;85.00
c4;2016;9;69.44;57.60;2923.00;16525.00;85.00
c4;2016;10;85.44;121.60;2840.00;17146.00;85.00
c4;2016;11;96.00;99.84;3297.00;20428.00;85.00
c4;2016;12;99.84;110.72;2937.00;20651.00;85.00
